FILA 01,FILA 01,FILA 01
,10.3.41.71,D0:94:66:DC:A3:F8
,10.3.41.71,D0:94:66:DC:A2:B6
,10.3.41.70 ,D0:94:66:DC:A3:EB
,10.3.41.78 ,D0:94:66:DC:A2:8C
,10.3.41.78 ,D0:94:66:DC:A4:B9
,10.3.41.84,D0:94:66:DC:A2:7F
,10.3.41.85 ,D0:94:66:DC:A2:FD
FILA 02,FILA 02,FILA 02
,10.3.41.86,D0:94:66:DC:A3:AA
,10.3.41.130,D0:94:66:DC:A4:4E
,10.3.41.88,D0:94:66:DC:A2:E9
,10.3.41.112,D0:94:66:DC:A2:17
,10.3.41.83,D0:94:66:DC:A4:02
,10.3.41.89,D0:94:66:DC:A4:4C
FILA 03,FILA 03,FILA 03
,10.3.41.64,D0:94:66:DC:9C:D5
,10.3.41.80,D0:94:66:DC:A2:B8
,10.3.41.193,D0:94:66:DC:A2:FB
,10.3.41.176,D0:94:66:DC:A4:2E
,10.3.41.171,D0:94:66:DC:A4:B6
,10.3.41.170,D0:94:66:DC:A3:FE
,10.3.41.172,D0:94:66:DC:A3:C4
,10.3.41.175,D0:94:66:DC:A2:77
FILA 04,FILA 04,FILA 04
,10.3.41.74,D0:94:66:DC:A3:27
,10.3.41.66,D0:94:66:DC:A5:80
,10.3.41.67,D0:94:66:DC:A4:E0
,10.3.41.68,D0:94:66:DC:A2:0F
,10.3.41.192,D0:94:66:DC:A4:03
,10.3.41.75,D0:94:66:DC:A2:B5
,10.3.41.76,D0:94:66:DC:A5:9A
,10.3.41.76,D0:94:66:DC:A4:26
