FILA 01,FILA 01,FILA 01
4679,10.1.25.5,48:4D:7E:FC:8E:E5
4677,10.1.25.6,48:4D:7E:FC:8E:59
4678,10.1.25.7,48:4D:7E:FC:8F:0E
4671,10.1.25.8,48:4D:7E:FC:8F:0A
4674,10.1.25.9,48:4D:7E:FC:8E:FA
FILA 02,FILA 02,FILA 02
4675,10.1.25.10,1C:72:1D:FF:FB:30
4681,10.1.25.11,48:4D:7E:FC:8E:EC
4680,10.1.25.12,48:4D:7E:FC:8E:ED
4672,10.1.25.13,48:4D:7E:FC:8F:0C
4686,10.1.25.14,48:4D:7E:FC:8E:C4
FILA 03,FILA 03,FILA 03
4673,10.1.25.15,48:4D:7E:FC:8E:6A
4685,10.1.25.16,48:4D:7E:FC:8D:3A
4676,10.1.25.17,48:4D:7E:FC:8C:EF
4684,10.1.25.18,48:4D:7E:FC:8D:F5
4691,10.1.25.19,48:4D:7E:FC:8F:15
FILA 04,FILA 04,FILA 04
4682,10.1.25.20,48:4D:7E:FC:8E:04
4689,10.1.25.21,48:4D:7E:FC:8F:17
4688,10.1.25.22,54:BF:64:A2:BA:C8
4683,10.1.25.23,48:4D:7E:FC:8E:F6
4687,10.1.25.24,48:4D:7E:FC:8E:F3
FILA 05,FILA 05,FILA 05
4665,10.1.25.25,48:4D:7E:FC:8E:3B
4664,10.1.25.26,48:4D:7E:FC:8F:10
4668,10.1.25.27,48:4D:7E:FC:8E:4E
FILA 06,FILA 06,FILA 06
4654,10.1.25.28,48:4D:7E:FC:8E:FE
4646,10.1.25.29,48:4D:7E:FC:8C:1F
4670,10.1.25.30,48:4D:7E:FC:8E:EA
4662,10.1.25.31,48:4D:7E:FC:8E:F9
4667,10.1.25.32,48:4D:7E:FC:8E:97
4660,10.1.25.33,48:4D:7E:FC:8F:49
4657,10.1.25.34,48:4D:7E:FC:8E:93
