FILA 01,FILA 01,MAC ADDRESS
004623,10.2.51.50,48:4D:7E:FC:8E:D8
004635,10.2.51.51,48:4D:7E:FC:8E:B7
004625,10.2.51.52,48:4D:7E:FC:8E:8A
004619,10.2.51.53,48:4D:7E:FC:8E:B6
004630,10.2.51.54,48:4D:7E:FC:8E:D1
004621,10.2.51.55,48:4D:7E:FC:8E:A8
004629,10.2.51.56,48:4D:7E:FC:8E:8E
FILA 02,FILA 02,MAC ADDRESS
004631,10.2.51.57,48:4D:7E:FC:8E:DE
004617,10.2.51.58,48:4D:7E:FC:8E:69
004610,10.2.51.59,48:4D:7E:FC:8E:DD
004633,10.2.51.60, 48:4D:7E:FC:8E:3E
004615,10.2.51.61,48:4D:7E:FC:8E:0C
004626,10.2.51.62, 48:4D:7E:FC:8F:2B
004569,10.2.51.63,48:4D:7E:FC:E3:62
FILA 03,FILA 03,MAC ADDRESS
004613,10.2.51.64, 48:4D:7E:FC:8E:D6
004573,10.2.51.65,48:4D:7E:FC:8E:A7
004636,10.2.51.66,48:4D:7E:FC:83:AC
004620,10.2.51.67,48:4D:7E:FC:8E:F2
004614,10.2.51.68,48:4D:7E:FC:8E:B5
004616,10.2.51.69,48:4D:7E:FC:8E:E7
004612,10.2.51.70,48:4D:7E:FC:8E:0F
FILA 04,FILA 04,MAC ADDRESS
004624,10.2.51.71,48:4D:7E:FC:8E:A4
004622,10.2.51.72,48:4D:7E:FC:8E:CF
004628,10.2.51.73,48:4D:7E:FC:8E:A1
004611,10.2.51.74,48:4D:7E:FC:8E:DA
004627,10.2.51.75,48:4D:7E:FC:8E:A6
004618,10.2.51.76,48:4D:7E:FC:8E:5D
004632,10.2.51.77, 48:4D:7E:FC:8F:26
Professor_004551,10.2.51.78,D8:9E:F3:26:0A:48
