FILA 01,FILA 01,MAC ADDRESS
7336,10.0.80.20,D0-94-66-DC-A5-56
7333,10.0.80.10,D0-94-66-DC-A5-48
19150,10.0.80.44,1C-69-7A-9C-CA-A7
19151,10.0.80.45,1C-69-7A-9C-C6-86
19147,10.0.80.46,1C-69-7A-9C-C5-81
13970,10.0.80.47,D0-94-66-DE-78-2D
19145,10.0.80.48,1C-69-7A-9C-C5-21
FILA 02,FILA 02,MAC ADDRESS
7320,10.0.80.19,D0-94-66-DC-A1-72
7342,10.0.80.41,D0-94-66-DC-A2-F9
7326,10.0.80.17,D0-94-66-DC-A4-DB
7330,10.0.80.18,D0-94-66-DC-A5-44
7329,10.0.80.15,D0-94-66-DC-A5-93
7325,10.0.80.16,D0-94-66-DC-A5-2B
7407,10.0.80.36,D0-94-66-DC-A3-7B
7340,10.0.80.37,D0-94-66-DC-A2-12
FILA 03,FILA 03,MAC ADDRESS
7324,10.0.80.21,D0-94-66-DC-A5-3F
7321,10.0.80.22,D0-94-66-DC-A5-A6
7346,10.0.80.12,D0-94-66-DC-A3-8D
7337,10.0.80.13,D0-94-66-DC-A2-0C
7318,10.0.80.43,D0-94-66-DC-A5-5F
7317,10.0.80.27,D0-94-66-DC-A3-89
7316,10.0.80.26,D0-94-66-DC-A3-E9
7327,10.0.80.29,D0-94-66-DC-A5-2E
FILA 04,FILA 04,MAC ADDRESS
19149,10.0.80.49,1C-69-7A-9C-C9-93
7345,10.0.80.40,D0-94-66-DC-A2-F8
7334,10.0.80.34,D0-94-66-DC-A5-A2 
7323,10.0.80.42,D0-94-66-DC-A3-E0
7339,10.0.80.30,D0-94-66-DC-A1-20
7341,10.0.80.28,D0-94-66-DC-A5-92
7331,10.0.80.25,D0-94-66-DC-9C-D9
7348,10.0.80.31,D0-94-66-DC-A3-9F
FILA 05,FILA 05,MAC ADDRESS
7310,10.0.80.33,D0-94-66-DC-A4-04
7328,10.0.80.32,D0-94-66-DC-A5-82
7322,10.0.80.39,D0-94-66-DC-A4-58
7409,10.0.80.35,D0-94-66-DC-A4-4D
7319,10.0.80.24,D0-94-66-DC-A3-A3
7335,10.0.80.14,D0-94-66-DC-A3-F4
19146,10.0.80.50,1C-69-7A-95-C-521
19148,10.0.80.51,1C-69-7A-9C-C9-59
Professor_007338,10.0.80.11,D0-94-66-DC-A4-08
