FILA 01,FILA 01,MAC ADDRESS
4752,10.0.82.11,48:4D:7E:FC:8E:77
SEM TOMBO : 2PDF3N2,10.0.82.12,48:4D:7E:FC:8D:4E
4744,10.0.82.13,48:4D:7E:FC:8C:C4
4741,10.0.82.14,48:4D:7E:FC:8C:E2
4733,10.0.82.15,48:4D:7E:FC:8C:C8
4742,10.0.82.16,48:4D:7E:FC:8F:12
4734,10.0.82.17,48:4D:7E:FC:8E:9C
4732,10.0.82.18,48:4D:7E:FC:8C:EC
FILA 02,FILA 02,MAC ADDRESS
4745,10.0.82.19,48:4D:7E:FC:8C:E8
4729,10.0.82.20,48:4D:7E:FC:8E:F8
4634,10.0.82.21,48:4D:7E:FC:8E:C3
4757,10.0.82.22,48:4D:7E:FC:8E:76
4637,10.0.82.23,48:4D:7E:FC:8E:A5
4756,10.0.82.24,48:4D:7E:FC:8E:6E
004751/004753 2LWC3N2,10.0.82.25,48:4D:7E:FC:8C:57
4738,10.0.82.26,48:4D:7E:FC:8C:24
FILA 03,FILA 03,MAC ADDRESS
SEM TOMBO 2M5C3N2,10.0.82.27,48:4D:7E:FC:8E:43
4746,10.0.82.28,48:4D:7E:FC:8E:91
4754,10.0.82.29,48:4D:7E:FC:8F:05
4739,10.0.82.30,48:4D:7E:FC:8D:B9
4747,10.0.82.31,48:4D:7E:FC:8E:67
4740,10.0.82.32,48:4D:7E:FC:8E:45
4736,10.0.82.33,48:4D:7E:FC:8F:39
4724,10.0.82.34,48:4D:7E:FC:8E:75
FILA 04,FILA 04,MAC ADDRESS
4737,10.0.82.35,48:4D:7E:FC:8F:3C
4735,10.0.82.36,48:4D:7E:FC:8E:EF
4743,10.0.82.37,48:4D:7E:FC:8C:E9
4725,10.0.82.38,48:4D:7E:FC:8F:3B
4755,10.0.82.39,54:BF:64:64:7E:8C
4727,10.0.82.40,48:4D:7E:FC:8E:5C
4728,10.0.82.41,48:4D:7E:FC:8E:E3
4546,10.0.82.42,48:4D:7E:FC:8D:FB
4730,10.0.82.43,48:4D:7E:FC:8D:67
Professor_4731,10.0.82.44,48:4D:7E:FC:8F:33
