FILA 01,FILA 01,FILA 01
7456,10.0.84.54,D0:94:66:DC:A1:5E
7449,10.0.84.55,D0:94:66:DC:A4:F6
7443,10.0.84.56,D0:94:66:DC:A4:18
7411,10.0.84.57,D0:94:66:DC:A3:F6
7405,10.0.84.58,D0:94:66:DC:A3:D5
FILA 02,FILA 02,FILA 02
7406,10.0.84.59,D0:94:66:DC:A2:FC
7445,10.0.84.60,D0:94:66:DC:A4:19
7416,10.0.84.61,D0:94:66:DC:A4:33
7452,10.0.84.62,D0:94:66:DC:1B:86
7470,10.0.84.63,D0:94:66:DC:A3:CF
FILA 03,FILA 03,FILA 03
Professor_7428,10.0.84.64,54:BF:64:96:A5:F6
7347,10.0.84.65,E4:54:E8:85:9E:60
7397,10.0.84.66,D0:94:66:DC:A3:EA
7419,10.0.84.67,D0:94:66:DC:A4:40
7412,10.0.84.68,D0:94:66:DC:A3:95
7390,10.0.84.69,D0:94:66:DC:A1:A2
FILA 04,FILA 04,FILA 04
7471,10.0.84.70,D0:94:66:DC:A4:29
7417,10.0.84.71,D0:94:66:DC:A4:24
7398,10.0.84.72,D0:94:66:DC:A4:17
7396,10.0.84.73,D0:94:66:DC:A4:42
7410,10.0.84.74,D0:94:66:DD:88:E3
FILA 05,FILA 05,FILA 05
7426,10.0.84.75,D0:94:66:DC:A2:B7
7433,10.0.84.76,D0:94:66:DC:9B:49
7425,10.0.84.77,D0:94:66:DC:A4:50
7415,10.0.84.78,D0:94:66:DC:A4:3A
7422,10.0.84.79,D0:94:66:DC:A4:45
FILA 06,FILA 06,FILA 06
7408,10.0.84.80,D0:94:66:DC:A3:F1
7404,10.0.84.81,D0:94:66:DC:A4:0E
7413,10.0.84.82,D0:94:66:DC:A4:25
7435,10.0.84.83,D0:94:66:DC:A4:2C
7460,10.0.84.84,D0:94:66:DC:9A:74
